순위,시군구,위치,학교명,학교유형,응시자수,평균,국어,영어,수학,특목고진학률,대학교진학률,진학수,졸업자수,위도,경도
24,노원구,노원구 중계동,상계제일중학교,중학교,262,71.2,83.5,66.2,63.9,2,,4,196,37.6610756,127.0780785
25,노원구,노원구 월계동,신창중학교,중학교,141,69.7,85.8,68.1,55.3,3,,3,98,37.6285588,127.0474776
26,노원구,노원구 월계동,월계중학교,중학교,172,61.6,75.6,59.3,50,1,,1,98,37.63113114,127.0523203
1,노원구,노원구 중계동,대진여자고등학교,고등학교,518,95.7,97.3,98.3,91.5,,73,233,319,37.64617362,127.0671966
2,노원구,노원구 중계동,영신여자고등학교,고등학교,452,93.4,97.1,97.1,86.1,,44.1,116,263,37.65245208,127.0832893
3,노원구,노원구 상계동,용화여자고등학교,고등학교,490,92.7,93.5,97.1,87.5,,55.4,162,292,37.65913138,127.0582807
4,노원구,노원구 하계동,대진고등학교,고등학교,500,87.3,85.6,91,85.4,,47.8,163,341,37.63780685,127.07609
5,노원구,노원구 중계동,서라벌고등학교,고등학교,564,87.3,83.8,91.7,86.5,,64.8,232,358,37.64525653,127.0758406
6,노원구,노원구 하계동,혜성여자고등학교,고등학교,408,80.3,84.8,87.3,68.9,,41.2,132,320,37.64055021,127.0736197
7,노원구,노원구 상계동,청원여자고등학교,고등학교,408,77,80.2,84.3,66.7,,46.8,158,337,37.66525155,127.0625329
8,노원구,노원구 중계동,재현고등학교,고등학교,469,76.6,72.2,81.5,76.2,,50,150,300,37.66129064,127.0807998
9,노원구,노원구 월계동,염광고등학교,고등학교,305,76.4,74.1,85.9,69.2,,47,112,238,37.63028445,127.0492646
10,노원구,노원구 상계동,노원고등학교,고등학교,244,72,73,75.4,67.6,,46.7,85,182,37.66180319,127.0540195
11,노원구,노원구 상계동,상계고등학교,고등학교,415,71.6,72.3,77.2,65.5,,47.9,127,265,37.65272468,127.0554534
12,노원구,노원구 중계본동,불암고등학교,고등학교,397,70.2,70,75.6,65,,44.4,125,281,37.64915853,127.0803058
13,노원구,노원구 중계동,상명고등학교,고등학교,370,67.7,70.3,71.9,61.1,,46.1,127,275,37.64954781,127.0680416
14,노원구,노원구 상계동,청원고등학교,고등학교,521,67.4,65.8,71.2,65.3,,52.7,218,413,37.66525155,127.0625329
15,노원구,노원구 월계동,월계고등학교,고등학교,249,65.7,69.5,70.4,57.2,,39.7,78,196,37.63173301,127.0487159
16,노원구,노원구 상계동,수락고등학교,고등학교,245,63.8,64.9,69.1,57.5,,45.6,84,184,37.68293167,127.053571
1,도봉구,도봉구 창동,노곡중학교,중학교,179,92.7,97.8,92.7,87.7,4.5,,6,131,37.64880251,127.0537437
2,도봉구,도봉구 쌍문동,선덕중학교,중학교,280,91,96.8,91.4,85,4.2,,9,211,37.65634868,127.0268766
